Question;Answer1;Answer2
ostfalia?;0.wie viele standorte hat die ostfalia?;1.wo befindet sich das hauptgebäude der ostfalia?
wintersemester?;0.Welche Studiengänge werden im Wintersemester an der Ostfalia angeboten?;"1.Welche Aktivitäten plant die Studentenvereinigung für das kommende Wintersemester an der Ostfalia?"""
ostfalia;ostfalia ist eine Hochschule;Die Univesity ostfalia kooperiert mit TU-Clausthal
wintersemester;wir sind im wintersemester 2023/24;Nächstes Semester ist 2024/25
wie viele studierende hat die ostfalia?;Die Ostfalia Hochschule hat zur Zeit rund 15.000 Studierende;15.000 Studenten
wie viele standorte hat die ostfalia?;Die Ostfalia hat mehrere Standorte: jeweils in Wolfsburg, Wölfenbüttel, Braunschweig und Salzgitter;Wolfsburg, Wölfenbüttel, Braunschweig und Salzgitter
wo befindet sich der Hörsaal?;Gebäudeplan Standort Salzdahlumer Str. 46/48 Wolfenbüttel;Gebäudeplan Standort Salzdahlumer Str. 46/48 Wolfenbüttel
wo ist der Hörsaal?;Gebäudeplan Standort Salzdahlumer Str. 46/48 Wolfenbüttel;Gebäudeplan Standort Salzdahlumer Str. 46/48 Wolfenbüttel
wie erreiche ich den Hörsaal?;Gebäudeplan Standort Salzdahlumer Str. 46/48 Wolfenbüttel;Gebäudeplan Standort Salzdahlumer Str. 46/48 Wolfenbüttel
clausthal event ?;Heute: 6°;Morgen 5°
